PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Franz Wagner,ORL,20,79,21,58,2429.0,1197,46.8,35.4,86.3,84,272,356,231,119,68,34,164,2,0,-244,2021-22,1,0
Jalen Green,HOU,20,67,12,55,2137.7,1157,42.6,34.3,79.7,33,193,226,176,135,44,18,103,0,0,-519,2021-22,1,0
Scottie Barnes,TOR,20,74,43,31,2617.3,1134,49.2,30.1,73.5,195,362,557,256,136,80,55,192,13,0,66,2021-22,1,0
Cade Cunningham,DET,20,64,20,44,2088.1,1114,41.6,31.4,84.5,58,296,354,356,234,78,43,200,10,2,-275,2021-22,1,0
Evan Mobley,CLE,21,69,40,29,2331.0,1034,50.8,25.0,66.3,143,427,570,174,133,56,115,147,21,0,95,2021-22,1,0
Davion Mitchell,SAC,23,75,28,47,2075.8,861,41.8,31.6,65.9,33,133,166,313,114,55,24,141,3,0,-275,2021-22,1,0
Herbert Jones,NOP,23,78,36,42,2335.2,742,47.6,33.7,84.0,98,198,296,167,100,130,60,238,1,0,68,2021-22,1,0
Chris Duarte,IND,25,55,21,34,1540.8,720,43.2,36.9,80.4,41,185,226,114,90,56,10,95,0,0,-53,2021-22,1,0
Bones Hyland,DEN,21,69,41,28,1309.9,698,40.3,36.6,85.6,14,174,188,191,86,41,20,153,1,0,42,2021-22,1,0
Alperen Sengun,HOU,19,72,18,54,1489.3,692,47.4,24.8,71.1,138,255,393,185,145,59,68,214,8,0,-309,2021-22,1,0
Ayo Dosunmu,CHI,22,77,42,35,2109.6,679,52.0,37.6,67.9,27,187,214,256,108,60,29,182,4,0,-199,2021-22,1,0
Josh Giddey,OKC,19,54,17,37,1700.4,674,41.9,26.3,70.9,98,323,421,345,171,51,20,88,16,4,-299,2021-22,1,0
Jonathan Kuminga,GSW,19,70,44,26,1184.8,652,51.3,33.6,68.4,54,180,234,64,74,31,22,146,2,0,35,2021-22,1,0
Corey Kispert,WAS,23,77,31,46,1801.1,634,45.5,35.0,87.1,53,156,209,85,50,35,22,93,0,0,38,2021-22,1,0
Tre Mann,OKC,21,60,17,43,1366.9,625,39.3,36.0,79.3,25,146,171,91,71,47,12,102,0,0,-278,2021-22,1,0
Josh Christopher,HOU,20,74,18,56,1333.7,587,44.8,29.6,73.5,52,134,186,150,114,65,13,97,0,0,-272,2021-22,1,0
Cam Thomas,BKN,20,67,32,35,1176.1,570,43.3,27.0,82.9,16,145,161,78,55,33,8,66,0,0,-139,2021-22,1,0
Jalen Suggs,ORL,21,48,16,32,1306.7,564,36.1,21.4,77.3,26,145,171,209,143,59,19,142,2,0,-206,2021-22,1,0
